author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling,7.6,130174,75668,1965-07-31 00:00:00,11479,40,1
Antoine de Saint-Exupéry,https://lubimyczytac.pl/autor/14276/antoine-de-saint-exupery,7.5,87296,8410,1900-06-29 00:00:00,681,42,0
J.R.R. Tolkien,https://lubimyczytac.pl/autor/3216/j-r-r-tolkien,8.2,95479,78821,1892-01-03 00:00:00,8866,97,0
George Orwell,https://lubimyczytac.pl/autor/10474/george-orwell,7.4,84640,44871,1903-06-25 00:00:00,2086,48,1
Michaił Bułhakow,https://lubimyczytac.pl/autor/22701/michail-bulhakow,7.3,66721,30123,1891-05-15 00:00:00,1344,48,0
Andrzej Sapkowski,https://lubimyczytac.pl/autor/3291/andrzej-sapkowski,7.6,90948,91278,1948-06-21 00:00:00,10281,67,0
Carlos Ruiz Zafón,https://lubimyczytac.pl/autor/24023/carlos-ruiz-zafon,7.5,71370,78018,1964-09-25 00:00:00,6819,18,1
Stephenie Meyer,https://lubimyczytac.pl/autor/14755/stephenie-meyer,6.5,77442,31006,1973-12-24 00:00:00,2756,34,0
Suzanne Collins,https://lubimyczytac.pl/autor/6087/suzanne-collins,8.0,65485,33186,1962-08-10 00:00:00,3808,11,1
Stieg Larsson,https://lubimyczytac.pl/autor/19023/stieg-larsson,8.1,57785,37234,1954-08-15 00:00:00,3799,10,0
Dan Brown,https://lubimyczytac.pl/autor/19390/dan-brown,7.2,73978,41097,1964-06-22 00:00:00,4030,15,0
Éric-Emmanuel Schmitt,https://lubimyczytac.pl/autor/15987/eric-emmanuel-schmitt,7.3,66545,57949,1960-03-28 00:00:00,3361,47,0
George R.R. Martin,https://lubimyczytac.pl/autor/19287/george-r-r-martin,7.2,55664,101265,1948-09-20 00:00:00,5992,103,1
E. L. James,https://lubimyczytac.pl/autor/65774/e-l-james,6.5,52783,13859,1963-03-07 00:00:00,959,12,0
Bolesław Prus,https://lubimyczytac.pl/autor/19097/boleslaw-prus,6.5,65985,13936,1847-08-20 00:00:00,755,169,0
Paula Hawkins,https://lubimyczytac.pl/autor/109087/paula-hawkins,6.0,48648,13246,1972-08-26 00:00:00,298,7,1
Lucy Maud Montgomery,https://lubimyczytac.pl/autor/6136/lucy-maud-montgomery,7.4,57083,32981,1874-11-30 00:00:00,2455,91,0
