author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,Inne,author1,author_href1,Seria,author2,author_href2
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Pierwszy tom cyklu ""Harry Potter"" w poważnej, ""dorosłej"" okładce. Harry Potter, sierota i podrzutek, od niemowlęcia wychowywany był przez ciotkę i wuja, którzy traktowali go jak piąte koło u wozu. Pochodzenie chłopca owiane jest tajemnicą; jedyną pamiątką Harry`ego z przeszłości jest zagadkowa blizna na czole. Skąd jednak biorą się niesamowite zjawiska, które towarzyszą nieświadomemu niczego Potterowi? Harry nigdy by się nie spodziewał, że można latać na miotle, znać bardzo pożyteczne zaklęcia i nosić pelerynę niewidkę. Nigdy też nie przyszłoby mu do głowy, że to właśnie on stoczy walkę z potężnym i złym Lordem Voldermortem. ",5156,85006,1,literatura młodzieżowa,papier,Harry Potter (tom 1),Harry Potter and the Philosopher's Stone,Media Rodzina,2024-01-31,1999-01-01,1997-01-01,320,5  godz. 20 min.,polski,9788382656824,Andrzej Polkowski,Harry Potter i Kamień Filozoficzny (2002),124692,30249,11410,6210,990,849,czarodzieje&Harry Potter&fantasy&magia&przygoda,20735,15550,21000,17708,6098,2712,501,490,67,145,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Drugi tom bestsellerowego cyklu w poważnej, ""dorosłej"" okładce.Tym razem Harry będzie musiał się zmierzyć z tajemniczym potworem z komnaty tajemnic na zamku Hogwart. Otworzyć tę komnatę mógł jedynie prawowity dziedzic Slytherina, a wskutek nieszczęśliwego zbiegu okoliczności podejrzenie pada na Harryego. W dodatku jeden z najbliższych przyjaciół bohatera znajduje się w śmiertelnym niebezpieczeństwie. Z tego tomu dowiecie się, jaka była przeszłość Hagrida, jakie sekrety skrywa rodzina Malfoya i kto naprawdę wypuścił potwora. ",2305,70814,0,literatura młodzieżowa,papier,Harry Potter (tom 2),Harry Potter and the Chamber of Secrets,Media Rodzina,2024-01-31,1998-07-02,1998-01-01,356,5  godz. 56 min.,polski,9788382656831,Andrzej Polkowski,Harry Potter i Komnata Tajemnic (2003),105466,25003,8972,4535,883,501,Harry Potter&fantasy&magia&przygoda,15403,12066,18316,16148,5536,2503,345,404,26,67,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Trzeci tom bestsellerowego cyklu w poważnej, ""dorosłej"" okładce. Z pilnie strzeżonego więzienia ucieka niebezpieczny przestępca. Kim jest? Co go łączy z Harrym? Dlaczego lekcje przepowiadania przyszłości stają się dla bohatera udręką? W trzecim tomie przygód Harry`ego Pottera poznajemy nowego nauczyciela obrony przed czarną magią, oglądamy Hagrida w nowej roli oraz dowiadujemy się więcej o przeszłości profesora Snape`a. Wyprawiamy się również wraz z trzecioklasistami do obfitującego w atrakcje Hogsmeade, jedynej wioski w Anglii zamieszkanej wyłącznie przez czarodziejów. Kto o Potterze do tej pory nie słyszał, ten nabrał przekonania, że omija go coś, czym interesują się wszyscy. ""Polityka"", 25 listopada 2000 W nierównej walce z mediami elektronicznymi książki muszą przegrać! - przepowiadali znawcy tematu. Fenomen potteryzmu otrzeźwił tych, którzy literaturę dla najmłodszych dawno pogrzebali. ""Tygodnik Powszechny"", 3 grudnia 2000 ",2240,67913,0,literatura młodzieżowa,papier,Harry Potter (tom 3),Harry Potter and the prisoner of Azkaban,Media Rodzina,2024-01-31,2001-01-01,1999-01-01,456,7  godz. 36 min.,polski,9788382656848,Andrzej Polkowski,Harry Potter i więzień Azkabanu (2004),101279,23585,10242,5040,938,464,Harry Potter&fantasy&magia&przygoda,17821,14525,17126,12722,3502,1716,200,235,20,46,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Czwarty tom bestsellerowego cyklu w poważnej, ""dorosłej"" okładce. W tym roku w Szkole Magii i Czarodziejstwa Hogwart rozegra się Turniej Trzech Czarodziejów, na który przybędą uczniowie z Bułgarii i Francjii. Zgodnie z prastarymi regułami w turnieju uczestniczyć ma trzech uczniów - reprezentantów każdej ze szkół, wybranych przez Czarę Ognia. Dziwnym zbiegiem okoliczności wybranych zostaje czterech. Co z tego wynika dla Harry'ego, jego przyjaciół i całego świata czarodziejów, dowiecie się z lektury 766 stron czwartego tomu H arry`ego Pottera . ",1892,64433,0,literatura młodzieżowa,papier,Harry Potter (tom 4),Harry Potter and the Goblet of Fire,Media Rodzina,2024-01-31,2001-09-29,2000-01-01,764,12  godz. 44 min.,polski,9788382656855,,Harry Potter i Czara Ognia (2005),96512,22704,9109,5213,971,630,Harry Potter&fantasy&magia&przygoda,15416,13159,16409,13085,3887,1877,244,274,27,55,,,,,,
Antoine de Saint-Exupéry,https://lubimyczytac.pl/autor/14276/antoine-de-saint-exupery," Ekskluzywne wydanie z barwionymi brzegami.Poetycka opowieść o miłości, przyjaźni i odpowiedzialności Antoine'a de Saint-Exupéry'ego została przetłumaczone na ponad 270 języków i należy do klasyki literatury światowej. Historia wrażliwego złotowłosego chłopca, wzbogacona pięknymi ilustracjami autora, od lat wzrusza dzieci i dorosłych na całym świecie. ",4264,63435,0,literatura piękna,papier,,Le Petit Prince,Wydawnictwo Olesiejuk,2025-01-15,1947-01-01,1943-01-01,144,2  godz. 24 min.,polski,9788368132281,,Mały Książę (1974)  Saint-Exupéry. Zanim powstał Mały Książę (2024),91984,16081,7102,3777,536,312,Mały Książę&klasyka literatury&przyjaźń,13382,13601,12275,12699,5411,3126,1039,1139,335,428,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Harry znów spędza nudne, przykre wakacje w domu Dursleyów. Czeka go piąty rok nauki w Hogwarcie i chciałby jak najszybciej spotkać się ze swoimi najlepszymi przyjaciółmi, Ronem i Hermioną. Ci jednak wyraźnie go zaniedbują. Gdy Harry ma już dość wszystkiego postanawia jakoś zmienić swoją nieznośną sytuację, sprawy przyjmują całkiem nieoczekiwany obrót.Wygląda na to, że nowy rok nauki w Hogwarcie będzie bardzo dramatyczny. Kolejny tom przygód Harry'ego Pottera zaskakuje niespodziewanymi zwrotami akcji, tajemnicza atmosferą i oczywiście magią. ",1702,60086,0,"fantasy, science fiction",papier,Harry Potter (tom 5),Harry Potter and the Order of the Phoenix,Media Rodzina,2004-01-31,2004-01-31,2003-01-01,959,15  godz. 59 min.,polski,8372780978,Andrzej Polkowski,Harry Potter i Zakon Feniksa (2007),89932,22080,8870,5535,878,616,Harry Potter&magia&przygoda,14975,12728,14921,11579,3510,1768,212,300,25,68,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Szósty tom bestsellerowego cyklu w poważnej, ""dorosłej"" okładce.Po nieudanej próbie przechwycenia przepowiedni Lord Voldemort jest gotów uczynić wszystko, by zawładnąć światem czarodziejów. Organizuje tajemny zamach na swego przeciwnika, a narzędziem w jego ręku staje się jeden z uczniów. Czy jego plan się powiedzie? Tom szósty przygód Harry'ego Pottera przynosi cenne informacje o matce Voldemorta, jego dzieciństwie oraz początkach kariery młodego Toma Riddle'a, które rzucą nowe światło na sylwetkę głównego antagonisty Pottera.Na czym polega sekret nadprzyrodzonej mocy Czarnego Pana? Kto będzie nowym nauczycielem obrony przed czarną magią? Jaki jest cel tajemniczych i niebezpiecznych wypraw Dumbledore'a? Kto będzie wybranką serca Harry'ego? I wreszcie, kto jest tytułowym Księciem Półkrwi i jaką misję ma on do spełnienia? ",1565,58531,0,literatura młodzieżowa,papier,Harry Potter (tom 6),Harry Potter and the Half-Blood Prince,Media Rodzina,2024-01-31,2006-01-01,2003-01-01,700,11  godz. 40 min.,polski,9788382656879,Andrzej Polkowski,Harry Potter i Książę Półkrwi (2009),87651,21862,8903,6040,867,306,fantasy&magia&przygoda&Jonny Duddle,15146,13126,14503,10649,2970,1613,182,255,25,62,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Siódmy tom bestsellerowego cyklu w poważnej, ""dorosłej"" okładce. Po śmierci Dumbledore'a Zakon Feniksa wzmaga swoją działalność, próbując przeciwstawić się coraz potężniejszym siłom śmierciożerców. Harry wraz z przyjaciółmi opuszcza Hogwart, by odnaleźć sposób na pokonanie Voldemorta. Wyprawa ta pełna niepewności i zwątpienia najeżona jest niebezpieczeństwami, a co gorsza nikt nie wie, czy zakończy się sukcesem i czy wszyscy dotrwają do jej końca. Dlaczego Dumbledore nie pozostawił Harry`emu czytelnych wskazówek? Czy przeszłość nieżyjącego dyrektora kryje jakieś niezwykłe tajemnice? Jaką rolę odegra Snape przy boku Voldemorta? Czy Harry`emu uda się dotrzeć do najważniejszych miejsc i faktów dotyczących jego rodziny? Siódmy tom przygód Harry'ego Pottera jest już ostatnią częścią cyklu i - jak spodziewają się czytelnicy - przynosi odpowiedzi na wszystkie istotne dla potteromaniaków pytania. ",2104,58044,0,literatura młodzieżowa,papier,Harry Potter (tom 7),Harry Potter and the Deathly Hallows,Media Rodzina,2024-01-31,2008-01-01,2007-01-01,780,13  godz. 0 min.,polski,9788382656886,Andrzej Polkowski,,86338,22681,9358,6649,832,337,Harry Potter&magia&przygoda,16625,13314,13269,9605,2961,1548,227,369,30,96,,,,,,
J.R.R. Tolkien,https://lubimyczytac.pl/autor/3216/j-r-r-tolkien," Arcydzieło literatury fantasy. Baśniowy, przemyślany w najdrobniejszych szczegółach fantastyczny świat oraz barwne postaci i ich wspaniałe przygody. Bohaterem jest tytułowy hobbit, „istota większa od liliputa, mniejsza jednak od krasnala”, pełen życzliwości dla świata, dobroci, nieskory do męstwa, a przecież odważny, poczciwy, a przecież sprytny.Autor szuka w swej powieści odpowiedzi na podstawowe pytania o źródła dobra i zła. To także wstęp i zaproszenie do najgłośniejszego dzieła Tolkiena Władcy Pierścieni. Lektura szkolna. ",3072,57214,0,"fantasy, science fiction",papier,,,Wydawnictwo Iskry,2023-09-22,1960-01-01,1961-01-01,320,5  godz. 20 min.,polski,9788324411641,,Hobbit: Niezwykła podróż (2012)  Hobbit: Pustkowie Smauga (2013),79451,17684,5348,7988,544,983,fantazy&angielska fantazy&Śródziemie&III Era&Niziołki&Bilboo Baggins,7980,10556,14950,13982,5580,2397,705,688,160,216,,,,,,
George Orwell,https://lubimyczytac.pl/autor/10474/george-orwell," Jedna z najsłynniejszych powieści XX wieku! Nowe tłumaczenie, obnażające współczesne formy zniewolenia.Okrutna i sugestywna wizja świata, w którym rządzi przemoc i strach, a władza panuje nie tylko nad losem człowieka, ale też nad jego myślami i uczuciami. Boleśnie aktualna opowieść o pragnieniu władzy i konsekwencjach jej nadużywania. Zarazem to przejmująca, głęboko ludzka opowieść o samotności, o tęsknocie do miłości, wolności, prawdy. Historia tragicznej pary kochanków, Winstona i Julii, czytana na całym świecie, często w podziemnych lub przemycanych wydaniach, była głosem ostrzeżenia przed zniewoleniem umysłu. Użyte w niej pojęcia – „nowomowa”, „Policja Myśli”, „dwójmyślenie” czy „Wielki Brat” – weszły do języka potocznego wielu narodów.Literackie mistrzostwo świata! Pozycja obowiązkowa! ",3483,53815,0,literatura piękna,papier,,,Bellona,2024-11-27,1953-01-01,1950-07-01,432,7  godz. 12 min.,polski,9788311174368,Jan Dzierzgowski,,69408,12366,4369,23291,438,1773,dystopia&totalitaryzm&kontrola umysłu&Wielki Brat&nowomowa&Policja Myśli&dwójmyślenie&George Orwell&klasyka literatury&przyszłość,11747,17138,13280,8171,2324,751,210,119,41,34,#0 Top 100 2 nagrody,,,,,
