author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Wendy Markham,https://lubimyczytac.pl/autor/34211/wendy-markham,5.5,968,344,Unknown,2,2,0
Susan Minot,https://lubimyczytac.pl/autor/31193/susan-minot,5.8,739,334,07.12.1956,1,1,0
Charlotte Roche,https://lubimyczytac.pl/autor/15247/charlotte-roche,5.0,965,1119,18.03.1978,10,3,0
Jocelynn Drake,https://lubimyczytac.pl/autor/30943/jocelynn-drake,7.5,907,1632,Unknown,52,36,0
Christel Zachert,https://lubimyczytac.pl/autor/31034/christel-zachert,7.7,792,530,przybliżona),0,1,0
Ángela Becerra,https://lubimyczytac.pl/autor/30077/angela-becerra,7.5,839,771,01.01.1957,16,3,0
Raymond E. Feist,https://lubimyczytac.pl/autor/19150/raymond-e-feist,7.1,1820,5200,01.01.1945,130,38,0
Maha Gargash,https://lubimyczytac.pl/autor/35040/maha-gargash,5.4,743,475,Unknown,0,2,0
Waleria Komarowa,https://lubimyczytac.pl/autor/5090/waleria-komarowa,7.0,721,406,19.09.1985,14,3,0
Kristina Ohlsson,https://lubimyczytac.pl/autor/34019/kristina-ohlsson,7.1,1896,2781,02.03.1979,64,15,0
Jarosław Kret,https://lubimyczytac.pl/autor/32442/jaroslaw-kret,6.0,1065,617,04.12.1963,9,13,0
Cathy Yardley,https://lubimyczytac.pl/autor/24409/cathy-yardley,4.9,816,225,Unknown,1,6,0
Halina Birenbaum,https://lubimyczytac.pl/autor/32389/halina-birenbaum,7.9,1054,1962,15.09.1929,22,10,0
Krzysztof Gajda,https://lubimyczytac.pl/autor/31710/krzysztof-gajda,7.2,1023,770,Unknown,3,8,0
Rita Cristofari,https://lubimyczytac.pl/autor/24959/rita-cristofari,6.7,750,452,Unknown,0,1,0
Jean Philippe Arrou-Vignod,https://lubimyczytac.pl/autor/40322/jean-philippe-arrou-vignod,7.3,852,313,18.09.1958,12,8,0
Sarah Kane,https://lubimyczytac.pl/autor/36343/sarah-kane,7.8,1040,2013,03.02.1971,138,7,0
Robert Arthur,https://lubimyczytac.pl/autor/80233/robert-arthur,6.8,1619,590,10.11.1909,2,10,0
Alan Lowell Francis,https://lubimyczytac.pl/autor/22663/alan-lowell-francis,7.1,798,419,Unknown,0,1,0
Martin Widmark,https://lubimyczytac.pl/autor/34063/martin-widmark,7.6,2491,4273,przybliżona),78,86,0
Kelly Harte,https://lubimyczytac.pl/autor/24266/kelly-harte,5.6,816,263,Unknown,0,2,0
Robert Cecil Martin,https://lubimyczytac.pl/autor/42627/robert-cecil-martin,7.4,999,1412,Unknown,15,7,0
Jim C. Hines,https://lubimyczytac.pl/autor/3264/jim-c-hines,7.0,873,680,Unknown,20,9,0
Michelle Moran,https://lubimyczytac.pl/autor/17520/michelle-moran,7.0,1542,3584,11.08.1980,100,7,0
Judy Westwater,https://lubimyczytac.pl/autor/31284/judy-westwater,7.4,828,693,Unknown,6,1,0
Adam Wiśniewski-Snerg,https://lubimyczytac.pl/autor/3423/adam-wisniewski-snerg,6.7,1149,1883,01.01.1937,59,12,0
Carrie Karasyov,https://lubimyczytac.pl/autor/6121/carrie-karasyov,6.0,2180,847,Unknown,9,6,0
Lynda Curnyn,https://lubimyczytac.pl/autor/24405/lynda-curnyn,5.4,1367,718,Unknown,2,3,0
Sławomir Shuty,https://lubimyczytac.pl/autor/15754/slawomir-shuty,5.9,1855,2251,przybliżona),27,24,0
Shy Keenan,https://lubimyczytac.pl/autor/34640/shy-keenan,7.9,811,751,01.01.1963,6,1,0
Samuel P. Huntington,https://lubimyczytac.pl/autor/5024/samuel-p-huntington,7.5,760,1419,18.04.1927,19,5,0
Julia Navarro,https://lubimyczytac.pl/autor/15496/julia-navarro,6.9,1558,2084,01.01.1953,36,6,0
Oksana Pankiejewa,https://lubimyczytac.pl/autor/33528/oksana-pankiejewa,7.6,675,1277,Unknown,49,13,0
Julia Child,https://lubimyczytac.pl/autor/31241/julia-child,7.6,830,1341,15.08.1912,24,4,0
Teresa Lubkiewicz-Urbanowicz,https://lubimyczytac.pl/autor/24135/teresa-lubkiewicz-urbanowicz,7.5,725,402,13.10.1930,8,6,0
Blake Charlton,https://lubimyczytac.pl/autor/38487/blake-charlton,7.8,728,779,Unknown,10,3,0
Sofi Oksanen,https://lubimyczytac.pl/autor/34119/sofi-oksanen,6.6,1050,1858,07.01.1977,26,6,0
Peter Fröberg Idling,https://lubimyczytac.pl/autor/39129/peter-froberg-idling,6.9,741,814,20.05.1972,0,1,0
Hitomi Kanehara,https://lubimyczytac.pl/autor/19625/hitomi-kanehara,6.1,690,250,08.08.1983,4,5,0
David Eddings,https://lubimyczytac.pl/autor/3489/david-eddings,6.8,1820,3828,07.07.1931,117,29,0
Jilliane Hoffman,https://lubimyczytac.pl/autor/20155/jilliane-hoffman,6.2,724,404,przybliżona),3,5,0
Nicole Krauss,https://lubimyczytac.pl/autor/31703/nicole-krauss,6.0,836,777,Unknown,12,5,0
Hannah Arendt,https://lubimyczytac.pl/autor/16957/hannah-arendt,7.3,992,4402,14.10.1906,82,23,0
Marian Zacharski,https://lubimyczytac.pl/autor/32165/marian-zacharski,7.6,891,1088,15.08.1951,35,8,0
Steve Erwin,https://lubimyczytac.pl/autor/32058/steve-erwin,7.5,767,653,Unknown,0,5,0
Lin Carter,https://lubimyczytac.pl/autor/32924/lin-carter,6.4,1237,926,09.06.1930,0,25,0
Peter David,https://lubimyczytac.pl/autor/37285/peter-david,6.5,1906,4827,23.09.1956,2,172,0
Jed Rubenfeld,https://lubimyczytac.pl/autor/23311/jed-rubenfeld,7.0,789,398,Unknown,4,3,0
Charlie Adlard,https://lubimyczytac.pl/autor/24557/charlie-adlard,8.0,1105,2442,08.04.1966,2,223,0
Silvana De Mari,https://lubimyczytac.pl/autor/3482/silvana-de-mari,7.9,756,1028,28.05.1953,44,6,0
Nicci French,https://lubimyczytac.pl/autor/16137/nicci-french,6.5,2564,2211,Unknown,106,24,0
Alice Miller,https://lubimyczytac.pl/autor/12505/alice-miller,6.8,1088,2444,12.01.1923,47,8,0
Terry Deary,https://lubimyczytac.pl/autor/4278/terry-deary,7.0,2375,4958,04.03.1946,82,61,0
Justyna Bargielska,https://lubimyczytac.pl/autor/37355/justyna-bargielska,6.1,1863,1941,07.06.1977,40,31,2
Phillip M. Margolin,https://lubimyczytac.pl/autor/20339/phillip-m-margolin,7.0,1807,1915,01.01.1944,47,18,0
Kenzaburō Ōe,https://lubimyczytac.pl/autor/23363/kenzabur-e,7.2,1317,2561,31.01.1935,54,16,0
Salwa an-Nu’ajmi,https://lubimyczytac.pl/autor/31520/salwa-an-nu-ajmi,5.0,725,475,Unknown,2,2,0
Michael E. Gerber,https://lubimyczytac.pl/autor/176/michael-e-gerber,7.0,622,1533,Unknown,1,3,0
Stuart MacBride,https://lubimyczytac.pl/autor/19302/stuart-macbride,6.7,1289,2163,27.02.1969,124,16,0
Wojciech Eichelberger,https://lubimyczytac.pl/autor/22313/wojciech-eichelberger,6.6,2450,4934,10.06.1944,118,31,0
