UMAP1,UMAP2,UMAP3,cluster
4.985304,-1.0309856,4.517696,1
4.980186,-1.0279026,4.5183735,1
4.991718,-1.0330446,4.514737,1
4.9890075,-1.0314602,4.515305,1
4.9183702,-1.0150572,4.5528083,1
4.978435,-1.0259285,4.51799,1
4.981004,-1.0285202,4.5183315,1
4.9795923,-1.0256915,4.516664,1
4.8710184,-0.9848007,4.5581555,1
4.9241705,-0.99610007,4.5291862,1
4.971175,-1.0230838,4.520681,1
4.8964314,-0.96511155,4.5377083,1
4.885864,-0.9818338,4.544358,1
4.4433756,-1.4542428,5.3787184,1
4.8787055,-0.97633183,4.5458646,1
4.8597784,-0.9624987,4.543694,1
4.8633885,-0.9653982,4.5448537,1
4.276824,-1.0915402,5.138743,1
4.8415923,-0.9567475,4.5515532,1
4.8603363,-0.96017784,4.541248,1
4.865039,-0.96916014,4.5260196,1
4.8269753,-0.9469373,4.5520887,1
4.4457126,-1.456333,5.3772125,1
4.466425,-1.4766635,5.356992,1
4.8029466,-0.93274146,4.554696,1
4.256888,-1.1021603,5.1636724,1
4.674988,-0.8855263,4.603697,1
4.3096123,-1.2895749,5.3052635,1
4.6112876,-0.8571583,4.624898,1
4.209428,-0.99326336,5.0824223,1
4.45307,-1.4589493,5.375713,1
4.6267376,-0.84460014,4.5788484,1
4.5105534,-0.85149354,4.6919513,1
4.6554065,-0.8679789,4.598575,1
4.4429135,-1.4526596,5.377688,1
4.6699023,-0.87569183,4.594419,1
4.6631293,-0.8725704,4.5946302,1
4.1535726,-0.9327016,5.0512295,1
4.1412473,-0.9172718,5.038932,1
4.5802054,-0.81947196,4.581206,1
4.5861835,-0.84092486,4.6157584,1
4.1470456,-0.81770074,4.9208207,1
4.503808,-0.8203889,4.653298,1
4.3344755,-1.2921914,5.3045664,1
4.169578,-1.0091023,5.125722,1
4.539388,-0.7999781,4.5879545,1
4.4417324,-1.452653,5.3811693,1
4.3501096,-0.79101443,4.736396,1
4.1419826,-0.9029179,5.026698,1
4.423076,-1.4379157,5.3870564,1
4.556446,-0.80800074,4.5835047,1
4.510628,-0.80048704,4.6145153,1
4.304847,-1.3001094,5.339527,1
4.169463,-0.827808,4.918083,1
4.1714363,-0.7655114,4.8370395,1
4.3603635,-1.3770311,5.3837724,1
4.0645885,-0.8758465,5.0469894,1
4.5057464,-0.7838567,4.5930395,1
4.067542,-0.82604253,4.978794,1
4.498748,-0.78632,4.603079,1
4.41773,-1.444143,5.404699,1
4.1227026,-0.75114286,4.8511558,1
4.0036535,-0.84339285,5.040081,1
4.077687,-0.95695853,5.130931,1
4.090026,-0.7657714,4.889233,1
4.179632,-0.732686,4.782144,1
4.015373,-0.8584421,5.0468874,1
4.1820426,-1.1692698,5.2976546,1
3.9898703,-0.8889832,5.1164513,1
4.369994,-1.3971043,5.399797,1
4.3464365,-0.73912627,4.6593924,1
4.413188,-1.4331776,5.3952847,1
4.047139,-0.7498374,4.91075,1
4.090517,-0.6706281,4.7449846,1
4.176484,-0.69253755,4.7233496,1
4.345836,-1.3585042,5.380188,1
4.1875014,-0.6983265,4.7275276,1
4.029587,-0.820269,4.9998527,1
4.393355,-1.4261962,5.4060893,1
4.3684726,-0.7462621,4.649514,1
4.6103473,-1.7382504,5.9143243,1
4.3445654,-1.3927848,5.415768,1
4.4311833,-1.4469984,5.38748,1
4.311142,-1.3207105,5.3536086,1
4.1397877,-0.6975416,4.7539244,1
3.903357,-0.853591,5.1451035,1
3.9105146,-0.79618835,5.057235,1
3.9363034,-0.8468626,5.088912,1
4.1664224,-0.6860057,4.722166,1
4.3719096,-1.4090847,5.411787,1
4.030451,-0.6470087,4.8025312,1
3.853262,-0.7488595,5.033176,1
3.8649783,-0.88678944,5.247366,1
4.009223,-0.72613776,4.883127,1
4.2737546,-1.2910023,5.3592124,1
4.235177,-1.2867731,5.3878,1
4.020107,-0.62294114,4.7935877,1
4.3894486,-0.7418434,4.621584,1
3.9963613,-0.6303503,4.8477616,1
4.1815596,-1.2284118,5.3582172,1
